,Avg_Connected_UEs,HO Failures,PRB Util%,HQ_EXE_TOTARGET_FAILURE_QCI_1,DL Packet Loss Pct,Bearer Drop Voice%,Bearer Drops,RRC Setup Failures,Bearer Setup Failure Voice%,HO_fail_InterFreq,Combined RACH Failure%,Avg CQI,QCI 1 Bearer Drop%,ERAB Setup Fail%,HO Failure%,TIMESTAMP,Bearer Drop%
0,28.9,0,14.18,0,0,0,0,1,0,0,0.04,10.67,0,0,0,1.69E+12,0
1,26.47,0,11.97,0,0,0,0,0,0,0,0.04,10.37,0,0,0,1.69E+12,0
2,22.45,0,5.66,0,0,0.027643312,0,0,0,0,0,10.03,0.027643312,0,0,1.69E+12,0
3,20.25,0,4.81,0.03,0,0,0,0,0,0,0.04,10.4,0,0.01,0,1.69E+12,0
4,20.09,0,11.96,0,0,0,0,0,0,0,0,9.93,0,0,0,1.69E+12,0
5,28.28,0,15.28,0,0,0,0,0,0,0,0.04,10.22,0,0,0,1.69E+12,0
6,32.45,0,21.46,0,0.01,0,0,2,0,0,0.06,8.57,0,0,0,1.69E+12,0
7,42.87,0,30.71,0.02,0,0,0,9,0,0,0.08,8.43,0,0.01,0,1.69E+12,0
8,54.09,0,36.73,0.03,0,0,0,5,0,0,0.07,8.42,0,0.03,0,1.69E+12,0
9,55.93,1,60.41,0,0,0,0,8,0,1,0.05,7.48,0,0,0.2,1.69E+12,0
10,55.08,0,43.82,0,0,0,1,2,0,0,0.11,7.61,0,0,0,1.69E+12,0.01
11,64.28,0,50.31,0.01,0,0,0,7,0,0,0.02,7.83,0,0.01,0,1.69E+12,0
12,68.52,0,62.12,0.01,0,0,0,9,0,0,0.08,7.55,0,0.01,0,1.69E+12,0
13,70.64,0,67.16,0,0,0,0,4,0,0,0.06,7.16,0,0,0,1.69E+12,0
14,66.76,0,69.93,0.03,0,0,1,1,0,0,0.11,7.82,0,0.03,0,1.69E+12,0.01
15,72.7,0,68.87,0.21,0.01,1.11,2,5,0,0,0.08,7.45,1.11,0.19,0,1.69E+12,0.01
16,65.84,0,59.3,0.01,0,0,0,7,0,0,0.11,7.08,0,0.01,0,1.69E+12,0
17,48.16,0,45.65,0.01,0,0,0,2,0,0,0.05,7.47,0,0.01,0,1.69E+12,0
18,48.61,0,41.85,0,0,0,0,4,0,0,0.09,7.87,0,0,0,1.69E+12,0
19,48.69,0,42.43,0,0,0,0,1,0,0,0.03,7.92,0,0,0,1.69E+12,0
20,41.75,0,27.46,0,0,3.23,3,2,0,1,0.03,8.04,3.23,0,0,1.69E+12,0.03
21,42.18,0,31.92,0,0,0,0,0,0,0,0,7.61,0,0,0,1.69E+12,0
22,39.24,0,24.25,0,0,0,0,0,0,0,0,8.9,0,0,0,1.69E+12,0
23,31.31,0,19.83,0,0,0,0,1,0,0,0,8.96,0,0,0,1.69E+12,0
24,30.1,0,23.64,0,0.02,0,2,0,0,0,0.04,9.92,0,0,0,1.69E+12,0.02
25,27.93,0,17.71,0,0,0,0,0,0,0,0,10.91,0,0,0,1.69E+12,0
26,23.79,0,10.13,0,0,0,0,0,0,0,0.04,10.58,0,0,0,1.69E+12,0
